"","expr","time"
"440","UPtille",956711001
"441","UPmidzuno",81170000
"442","UPtille",758566401
"443","UPmidzuno",65687201
"444","UPtille",785986601
"445","UPbrewer",25459401
"446","UPsampford_edited",206758301
"447","UPtille",814488101
"448","UPmidzuno",67450701
"449","UPtille",824734601
"450","UPmidzuno",64323702
"451","UPmidzuno",63260301
"452","UPmidzuno",64106401
"453","UPbrewer",18347501
"454","UPtille",955902601
"455","UPbrewer",17762801
"456","UPmidzuno",61924201
"457","UPbrewer",30105302
"458","UPbrewer",17645901
"459","UPsampford_edited",207871001
"460","UPtille",830055501
"461","UPmidzuno",63976902
"462","UPsampford_edited",208406101
"463","UPsampford_edited",229332901
"464","UPmidzuno",64856801
"465","UPbrewer",28484601
"466","UPmidzuno",65968601
"467","UPsampford_edited",202315701
"468","UPmidzuno",65255100
"469","UPsampford_edited",203974001
"470","UPbrewer",28454802
"471","UPsampford_edited",231439201
"472","UPtille",826348901
"473","UPmidzuno",63383301
"474","UPsampford_edited",231445101
"475","UPtille",797660700
"476","UPsampford_edited",183014700
"477","UPsampford_edited",203481300
"478","UPtille",974967902
"479","UPbrewer",26303500
"480","UPbrewer",19999902
"481","UPtille",798107801
"482","UPbrewer",29530001
"483","UPmidzuno",82567001
"484","UPbrewer",17917700
"485","UPsampford_edited",207589301
"486","UPtille",796003600
"487","UPtille",766594300
"488","UPtille",782747202
"489","UPtille",963956801
"490","UPsampford_edited",207092701
"491","UPtille",822151201
"492","UPsampford_edited",209673401
"493","UPsampford_edited",206542301
"494","UPbrewer",18508001
"495","UPsampford_edited",133238301
"496","UPbrewer",19567601
"497","UPtille",861046801
"498","UPbrewer",17722401
"499","UPtille",830733702
"500","UPtille",832720800
"501","UPsampford_edited",206706700
"502","UPbrewer",18743602
"503","UPsampford_edited",208776301
"504","UPsampford_edited",185723901
"505","UPtille",955211002
"506","UPbrewer",30546400
"507","UPmidzuno",61624801
"508","UPmidzuno",60705400
"509","UPsampford_edited",208481100
"510","UPbrewer",18820002
"511","UPsampford_edited",203827801
"512","UPmidzuno",64724301
"513","UPmidzuno",64177001
"514","UPmidzuno",73163501
"515","UPsampford_edited",155832401
"516","UPtille",823048301
"517","UPtille",817054301
"518","UPsampford_edited",205913502
"519","UPbrewer",18658301
"520","UPsampford_edited",210690201
"521","UPmidzuno",85804501
"522","UPtille",807130801
"523","UPsampford_edited",220246301
"524","UPsampford_edited",206575601
"525","UPmidzuno",63132201
"526","UPsampford_edited",204516001
"527","UPtille",984441801
"528","UPtille",798542301
"529","UPsampford_edited",185681902
"530","UPsampford_edited",205091000
"531","UPtille",822080801
"532","UPmidzuno",61044401
"533","UPbrewer",17997201
"534","UPmidzuno",61720901
"535","UPbrewer",26586901
"536","UPsampford_edited",102335301
"537","UPmidzuno",66341100
"538","UPsampford_edited",201931500
"539","UPtille",792122401
"540","UPmidzuno",61365701
"541","UPtille",783100701
"542","UPmidzuno",61653202
"543","UPsampford_edited",361154700
"544","UPsampford_edited",240763401
"545","UPbrewer",19031701
"546","UPbrewer",22829401
"547","UPbrewer",30895201
"548","UPtille",801951900
